
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
0	3	21.000000	10.500000	11000100110111100101
1	0	21.000000	18.375000	11000100110111100101
2	0	21.000000	13.125000	11000100110111100101
3	0	21.000000	13.125000	11000100110111100101
4	0	21.000000	10.500000	11000100110111100101
5	0	21.000000	18.375000	11000100110111100101
6	0	21.000000	15.750000	11000100110111100101
7	0	21.000000	18.375000	11000100110111100101
8	0	21.000000	15.750000	11000100110111100101
9	0	21.000000	18.375000	11000100110111100101
10	0	21.000000	13.125000	11000100110111100101
11	0	21.000000	21.000000	11000100110111100101
12	0	21.000000	15.750000	11000100110111100101
13	0	21.000000	15.750000	11000100110111100101
14	0	21.000000	18.375000	11000100110111100101
15	0	21.000000	15.750000	11000100110111100101
16	0	21.000000	18.375000	11000100110111100101
17	0	21.000000	13.125000	11000100110111100101
18	0	21.000000	10.500000	11000100110111100101
19	0	21.000000	18.375000	11000100110111100101
20	0	21.000000	13.125000	11000100110111100101
21	0	21.000000	15.750000	11000100110111100101
22	0	21.000000	18.375000	11000100110111100101
23	0	21.000000	10.500000	11000100110111100101
24	0	21.000000	10.500000	11000100110111100101
25	0	21.000000	13.125000	11000100110111100101
26	0	21.000000	10.500000	11000100110111100101
27	0	21.000000	13.125000	11000100110111100101
28	0	21.000000	15.750000	11000100110111100101
29	0	21.000000	18.375000	11000100110111100101
30	0	21.000000	13.125000	11000100110111100101
31	0	21.000000	15.750000	11000100110111100101
32	0	21.000000	13.125000	11000100110111100101
33	0	21.000000	18.375000	11000100110111100101
34	0	21.000000	13.125000	11000100110111100101
35	0	21.000000	15.750000	11000100110111100101
36	0	21.000000	13.125000	11000100110111100101
37	0	21.000000	15.750000	11000100110111100101
38	0	21.000000	21.000000	11000100110111100101
39	0	21.000000	7.875000	11000100110111100101
40	0	21.000000	10.500000	11000100110111100101
41	0	21.000000	15.750000	11000100110111100101
42	0	21.000000	15.750000	11000100110111100101
43	0	21.000000	18.375000	11000100110111100101
44	0	21.000000	15.750000	11000100110111100101
45	0	21.000000	15.750000	11000100110111100101
46	0	21.000000	10.500000	11000100110111100101
47	0	21.000000	15.750000	11000100110111100101
48	0	21.000000	15.750000	11000100110111100101
49	0	21.000000	15.750000	11000100110111100101
50	0	21.000000	15.750000	11000100110111100101
51	0	21.000000	15.750000	11000100110111100101
52	0	21.000000	10.500000	11000100110111100101
53	0	21.000000	13.125000	11000100110111100101
54	0	21.000000	13.125000	11000100110111100101
55	0	21.000000	18.375000	11000100110111100101
56	0	21.000000	15.750000	11000100110111100101
57	0	21.000000	15.750000	11000100110111100101
58	0	21.000000	13.125000	11000100110111100101
59	0	21.000000	18.375000	11000100110111100101
60	0	21.000000	18.375000	11000100110111100101
61	0	21.000000	18.375000	11000100110111100101
62	0	21.000000	15.750000	11000100110111100101
63	0	21.000000	13.125000	11000100110111100101
64	0	21.000000	13.125000	11000100110111100101
65	0	21.000000	15.750000	11000100110111100101
66	0	21.000000	21.000000	11000100110111100101
67	0	21.000000	21.000000	11000100110111100101
68	0	21.000000	15.750000	11000100110111100101
